Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
TIGER SUPPLIES INC.|94060482Z,"$4,012,500",,,,,,,,,,,,,
"LAW ENFORCEMENT PSYCHOLOGICAL SERVICES, INC|31341880E","$4,000,000",,,,,,,,,,,,,
GARY JET CENTER INC.|105463142V,"$4,000,000",,,,,,,,,,,,,
COMMUNITY OPPORTUNITY FUNDS|10614069,"$4,000,000",,,,,,,,,,,,,
COGENT INFOTECH CORPORATION|105495558T,"$4,000,000",,,,,,,,,,,,,
CENTER FOR APPLIED PSYCHOLOGY & FORENSIC STUDIES|102560352M,"$4,000,000",,,,,,,,,,,,,
TERRACON CONSULTANTS INC|105461060M,"$3,982,300",,,,,,,,,,,,,
SIDEBAR.B. FRIEDMAN & COMPANY|22578616X,"$3,950,000",,,,,,,,,,,,,
MARILLAC ST. VINCENT FAMILY SERVICES INC DBA ST. VINCENT DEPAUL CENTER|97791861L,"$3,938,600",,,,,,,,,,,,,
KENNY CONSTRUCTION COMPANY|69497163V,"$3,900,599",,,,,,,,,,,,,
CHICAGOLAND LABORERS' TRAINING & APPRENTICE FUND|105469974P,"$3,899,436",,,,,,,,,,,,,
BJ WRIGHT PRESERVATION LP|10603856,"$3,885,962",,,,,,,,,,,,,
HOBBY HORSE NURSERY SCHOOL LIMITED DBA LAKE SHORE SCHOOLS|27496541A,"$3,875,300",,,,,,,,,,,,,
FLOWERS COMMUNICATIONS GROUP|9978034A,"$3,874,761",,,,,,,,,,,,,
MCFARLANE DOUGLASS & COMPANY.|22348219X,"$3,732,326",,,,,,,,,,,,,
FIRE SERVICE INC|31299019L,"$3,715,583",,,,,,,,,,,,,
HEAVEN'S LEARNING GARDEN INC.|105459151Z,"$3,713,708",,,,,,,,,,,,,
UNIVERSAL FAMILY CONNECTION INC|3750627Z,"$3,616,374",,,,,,,,,,,,,
URBAN INITIATIVES INC NFP|102462366H,"$3,612,685",,,,,,,,,,,,,
ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO|105476617X,"$3,600,083",,,,,,,,,,,,,
ARCONAS|94062030M,"$3,600,000",,,,,,,,,,,,,
"COMMUNITY & ECONOMIC DEVELOPMENT ASSOCIATION OF COOK COUNTY, INC. (CEDA)|105460469P","$3,567,000",,,,,,,,,,,,,
PROJECT EXPLORATION|102549293X,"$3,535,909",,,,,,,,,,,,,
K-PLUS MECHANICAL INC|104465262P,"$3,533,445",,,,,,,,,,,,,
TRAVELERS & IMMIGRANTS AID'S HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS|105470384M,"$3,520,000",,,,,,,,,,,,,
INTERFAITH HOUSING DEVELOPMENT CORPORATION OF CHICAGO|98511855M,"$3,500,000",,,,,,,,,,,,,
INSTITUTE FOR WOMEN TODAY|3683975V,"$3,493,089",,,,,,,,,,,,,
MAPSCORP|105473548X,"$3,477,795",,,,,,,,,,,,,
LAWRENCE HALL SCHOOL FOR BOYS|9004844V,"$3,472,230",,,,,,,,,,,,,
COBAN RESEARCH & TECHNOLOGIES INC|93894830M,"$3,467,385",,,,,,,,,,,,,
METROPOLITAN FAMILY SERVICES|105513897T,"$3,460,080",,,,,,,,,,,,,
LYNCH CHICAGO|45590835T,"$3,430,000",,,,,,,,,,,,,
SP PLUS LLC|105514580T,"$3,408,816",,,,,,,,,,,,,
ALDRIDGE ELECTRIC INC|25940976T,"$3,343,960",,,,,,,,,,,,,
MARILLAC ST. VINCENT FAMILY SERVICES INC|105512062P,"$3,338,860",,,,,,,,,,,,,
PROJECT: VISION INC.|105463122L,"$3,331,434",,,,,,,,,,,,,
"PORTAGE PARK CAPITAL, LLC|10627938","$3,300,000",,,,,,,,,,,,,
INTERSTATE POWER SYSTEMS|102453580L,"$3,277,500",,,,,,,,,,,,,
CHILDREN'S PLACE ASSOCIATION|95235374L,"$3,264,512",,,,,,,,,,,,,
"CANON U.S.A., INC|105514135V","$3,252,355",,,,,,,,,,,,,
"VOSS EQUIPMENT, INC.|105506575H","$3,249,500",,,,,,,,,,,,,
RAY O'HERRON CO INC|79069005T,"$3,223,349",,,,,,,,,,,,,
BUSY BUMBLE BEE ACADEMY DAYCARE INC|3648833H,"$3,223,136",,,,,,,,,,,,,
MCCORKLE LITIGATION SERVICES INC|95426986E,"$3,219,688",,,,,,,,,,,,,
LAWNDALE EDUCATIONAL & REGIONAL NETWORK CHARTER SCHOOL|102464881A,"$3,193,824",,,,,,,,,,,,,
CURB MOBILITY LLC|105463504P,"$3,186,000",,,,,,,,,,,,,
IGNITE ORG.|105461064X,"$3,181,954",,,,,,,,,,,,,
ACR INC|102460201A,"$3,166,899",,,,,,,,,,,,,
ALTERNATIVES INC.|3714241V,"$3,161,415",,,,,,,,,,,,,
"SMITH.BARNEY. FRIEDMAN DEVELOPMENT ADVISORS, LLC|27471999A","$3,139,237",,,,,,,,,,,,,
"SKYTECH ENTERPRISES, LIMITED|87834402H","$3,130,000",,,,,,,,,,,,,
PUBLIC COMMUNICATIONS INC|10233947,"$3,120,000",,,,,,,,,,,,,
NIGHT MINISTRY|50130252P,"$3,073,963",,,,,,,,,,,,,
BARRY TECHNOLOGIES INC.|87112416X,"$3,069,127",,,,,,,,,,,,,
"A C MOTEL, LLC.|10028919","$3,045,000",,,,,,,,,,,,,
BABY ACADEMY|22646267A,"$3,042,064",,,,,,,,,,,,,
GREATER CHICAGO FOOD DEPOSITORY|30162645M,"$3,025,111",,,,,,,,,,,,,
BADGER METER INC|94018152X,"$3,009,262",,,,,,,,,,,,,
WASTE MANAGEMENT OF ILLINOIS INC/MTR|18707349Z,"$3,008,723",,,,,,,,,,,,,
"OSHKOSH AIRPORT PRODUCTS, LLC|10596278","$3,003,648",,,,,,,,,,,,,
SPECIALTY CONSULTING INC|105470090Z,"$3,000,000",,,,,,,,,,,,,
SMITHGROUPJJR INC|102549933L,"$3,000,000",,,,,,,,,,,,,
RUDD RESOURCES|94765995X,"$3,000,000",,,,,,,,,,,,,
"ROUX ASSOCIATES, INC.|105468925M","$3,000,000",,,,,,,,,,,,,
RAMBOLL US CORPORATION|102697473Z,"$3,000,000",,,,,,,,,,,,,
"MORREALE PUBLIC AFFAIRS GROUP, ENERGY EFFICIENCY EXPO 2011|93616996X","$3,000,000",,,,,,,,,,,,,
"MINTEX, INC.|95584910L","$3,000,000",,,,,,,,,,,,,
MESMERIZE MEDIA HOLDINGS LLC|10592378,"$3,000,000",,,,,,,,,,,,,
"LOPEZ-MARTIN & ASSOCIATES, INC.|88915373Z","$3,000,000",,,,,,,,,,,,,
"LANDRUM & BROWN, INC|21983368A","$3,000,000",,,,,,,,,,,,,
KIVVIT|105464092X,"$3,000,000",,,,,,,,,,,,,
JASCULCA/TERMAN & ASSOCIATES|21969385X,"$3,000,000",,,,,,,,,,,,,
"INTEGRATED SOLUTIONS CONSULTING, CORPORATION|57286619M","$3,000,000",,,,,,,,,,,,,
"HUFF & HUFF, INC.|105470208E","$3,000,000",,,,,,,,,,,,,
HEY & ASSOCIATES INC|93855459Z,"$3,000,000",,,,,,,,,,,,,
GRANITE INLINER LLC.|105464134Z,"$3,000,000",,,,,,,,,,,,,
GOLDSTAR COMMUNICATIONS|88740287P,"$3,000,000",,,,,,,,,,,,,
ENVIRONMENTAL DESIGN INTERNATIONAL|CLEANED-UP|91371362P,"$3,000,000",,,,,,,,,,,,,
"ECS MIDWEST, LLC|10562985","$3,000,000",,,,,,,,,,,,,
DOSTUFF MEDIA LLC|105467315M,"$3,000,000",,,,,,,,,,,,,
DESIGN CONSULTING ENGINEERS|102928147P,"$3,000,000",,,,,,,,,,,,,
"DANIEL J. EDELMAN, INC|10521550T","$3,000,000",,,,,,,,,,,,,
COMMUNICATION STRATEGIES GROUP (DBA CS-EFFECT)|10592923,"$3,000,000",,,,,,,,,,,,,
"CARNOW CONIBEAR & ASSOC., LIMITED|93805440A","$3,000,000",,,,,,,,,,,,,
"ARCADIS U.S., INC|95906404A","$3,000,000",,,,,,,,,,,,,
ADS LLC|97197440E,"$3,000,000",,,,,,,,,,,,,
"A3 ENVIRONMENTAL, LLC.|10554312","$3,000,000",,,,,,,,,,,,,
"2IM GROUP, LLC.|94382362M","$3,000,000",,,,,,,,,,,,,
"22ND CENTURY TECHNOLOGIES, INC.|10557969","$3,000,000",,,,,,,,,,,,,
"ALLSTAR FIRE EQUIPMENT, INC.|94068513M","$2,984,833",,,,,,,,,,,,,
ENGLEWOOD FAMILY HOMES LLC.|10598107,"$2,980,970",,,,,,,,,,,,,
LADDER UP|105474936A,"$2,946,073",,,,,,,,,,,,,
"ASI, INC.|93792297Z","$2,941,250",,,,,,,,,,,,,
FRIEND FAMILY HEALTH CENTER|31325053X,"$2,939,167",,,,,,,,,,,,,
"URBAN WORKS, LIMITED|31320702A","$2,913,391",,,,,,,,,,,,,
"PREMIER HOME HEALTH CARE SERVICES, INC.|105470212V","$2,892,333",,,,,,,,,,,,,
PUERTO RICAN CULTURAL CENTER|55226227V,"$2,891,498",,,,,,,,,,,,,
MAC AUTO INC|93216957H,"$2,863,710",,,,,,,,,,,,,
"NATIONAL FOUNDATION FOR THE CENTERS FOR DISEASE CONTROL & PREVENTION, INC|105472440V","$2,849,584",,,,,,,,,,,,,
"SPAAN TECH, INC.|68007838M","$2,821,824",,,,,,,,,,,,,
RESEARCH TRIANGLE INSTITUTE|105457985L,"$2,805,950",,,,,,,,,,,,,
"A KNOCK AT MIDNIGHT, NFP|28976533T","$2,801,686",,,,,,,,,,,,,
PODER LEARNING CENTER|105473096E,"$2,795,000",,,,,,,,,,,,,
"LAUNDRY OPS, LLC|105499294P","$2,755,920",,,,,,,,,,,,,
FOUNTAIN PROS LLC|105461327T,"$2,741,940",,,,,,,,,,,,,
CORISE ILLINOIS|105474141Z,"$2,738,669",,,,,,,,,,,,,
CHRISTIAN COMMUNITY HEALTH CENTER|9099540Z,"$2,698,994",,,,,,,,,,,,,
STRYKER MEDICAL|105459014L,"$2,689,992",,,,,,,,,,,,,
AGELESS EYE CARE PC|94277328M,"$2,686,244",,,,,,,,,,,,,
"LEE JENSEN SALES CO, INC|51798403M","$2,681,211",,,,,,,,,,,,,
LANGUAGE LINE SOLUTIONS INC.|105472576A,"$2,676,397",,,,,,,,,,,,,
1201 N CALIFORNIA 9PCT HHDC LP|10604672,"$2,645,279",,,,,,,,,,,,,
WM INITIATIVES LLC|102453997T,"$2,589,708",,,,,,,,,,,,,
THE MARTHA HHDC LLC|10612000,"$2,549,478",,,,,,,,,,,,,
1357 PROPERTY OWNER LLC|10597750,"$2,547,600",,,,,,,,,,,,,
ENVISION COMMUNITY SERVICES|105474653X,"$2,544,127",,,,,,,,,,,,,
"LUSE ENVIRONMENTAL SERVICES, INC.|105459525E","$2,515,937",,,,,,,,,,,,,
TELOS IDENTY MANAGEMENT SOLUTIONS LLC|105476446E,"$2,502,488",,,,,,,,,,,,,
REBUILD FOUNDATION NFP|105467836M,"$2,500,000",,,,,,,,,,,,,
"KERRY'S AUTO BODY, INC.|3741277T","$2,500,000",,,,,,,,,,,,,
"INFOJINI, INC.|10563541","$2,500,000",,,,,,,,,,,,,
HUMBOLDT PARK HEALTH|105511675M,"$2,500,000",,,,,,,,,,,,,
"UNITED SECURITY SERVICES, INC.|61705202X","$2,499,124",,,,,,,,,,,,,
NHS REDEVELOPMENT CORPORATION|105471969L,"$2,493,000",,,,,,,,,,,,,
UNION LEAGUE BOYS AND GIRLS CLUBS|6663965T,"$2,483,142",,,,,,,,,,,,,
SOUTH-EAST ASIA CENTER|CLEANED-UP|96606307L,"$2,482,409",,,,,,,,,,,,,
"GENERAL COMMUNICATIONS, INC. (GENCOMM)|105497381V","$2,477,182",,,,,,,,,,,,,
"ALIVIO MEDICAL CENTER,INC|3630259Z","$2,476,842",,,,,,,,,,,,,
CHICAGO ALLIANCE AGAINST SEXUAL EXPLOITATION|55595026,"$2,461,459",,,,,,,,,,,,,
LIFE-SPAN|94659814V,"$2,453,160",,,,,,,,,,,,,
TEAMWORK ENGLEWOOD|46806107T,"$2,437,573",,,,,,,,,,,,,
CABRINI GREEN LEGAL AID CLINIC|102606906H,"$2,433,708",,,,,,,,,,,,,
COMMUNITY BUILDERS INC|102688051A,"$2,432,000",,,,,,,,,,,,,
OGDEN WASHTENAW JV LLC|10566744,"$2,413,155",,,,,,,,,,,,,
AIDS FOUNDATION OF CHICAGO|CLEANED-UP|92395803E,"$2,404,650",,,,,,,,,,,,,
MWM CONSULTING GROUP|93480721L,"$2,400,000",,,,,,,,,,,,,
ATHENA CONSULTING LLC|105476436Z,"$2,400,000",,,,,,,,,,,,,
"LE PENSEUR YOUTH & FAMILY SERVICES, INC.|25954405L","$2,386,164",,,,,,,,,,,,,
PUERTO RICAN CULTURAL CENTER|93977356X,"$2,381,763",,,,,,,,,,,,,
REFUGEEONE|94716859E,"$2,348,876",,,,,,,,,,,,,
HIGHER LEARNING DAYCARE & EDUCATION CENTER INC DBA HIGHER LEARNING CHILDCARE & DEVELOPMENT|102465071H,"$2,346,080",,,,,,,,,,,,,
YWCA METROPOLITAN CHICAGO|10054278H,"$2,311,722",,,,,,,,,,,,,
LOYOLA UNIVERSITY HEALTH|1067264,"$2,304,174",,,,,,,,,,,,,
MIKK CONSTRUCTION AND DEVELOPERS|10615937,"$2,275,000",,,,,,,,,,,,,
DARDON CONSTRUCTION INC.|10554308,"$2,275,000",,,,,,,,,,,,,
PRO-TECH|90994785H,"$2,250,000",,,,,,,,,,,,,
"NIJC, NFP|10620532","$2,250,000",,,,,,,,,,,,,
MIDWAY TRAILER SALES & SERVICE INC|94844895H,"$2,241,290",,,,,,,,,,,,,
CHILDREN'S CENTER FOR CREATIVE LEARNING INC|38485073V,"$2,230,968",,,,,,,,,,,,,
ST. LEONARD'S MINISTRIES|CLEANED-UP|33705654T,"$2,213,346",,,,,,,,,,,,,
"THE ABERDEEN GROUP, INC.|10587288","$2,194,950",,,,,,,,,,,,,
"MIKVA CHALLENGE GRANT FOUNDATION, INC.|102556799M","$2,189,328",,,,,,,,,,,,,
FAMILY RESCUE|102667254E,"$2,163,791",,,,,,,,,,,,,
NATIONAL LOUIS UNIVERSITY|94382376L,"$2,158,916",,,,,,,,,,,,,
MSC INDUSTRIAL SUPPLY CO|95881790V,"$2,148,914",,,,,,,,,,,,,
SARAH'S CIRCLE|99253746H,"$2,138,126",,,,,,,,,,,,,
WHITE CRANE WELLNESS CENTER|93332253E,"$2,133,690",,,,,,,,,,,,,
CHINESE CONSOLIDATED BENEVOLENT ASSOCIATION OF CHICAGO|35063265X,"$2,118,808",,,,,,,,,,,,,
AECOM USA INC|95615327M,"$2,100,000",,,,,,,,,,,,,
MERIDIAN RAPID DEFENSE GROUP LLC|102595803L,"$2,090,751",,,,,,,,,,,,,
INNOVATIVE INTERFACES INC|31362979P,"$2,088,275",,,,,,,,,,,,,
CHICAGO BLACK GAY MENS CAUCUS|95534305A,"$2,077,958",,,,,,,,,,,,,
BOYS & GIRLS CLUBS OF CHICAGO|105458927P,"$2,062,696",,,,,,,,,,,,,
"POLYDYNE, INC|94127559H","$2,056,201",,,,,,,,,,,,,
OPTIONS FOR YOUTH|105474751V,"$2,053,661",,,,,,,,,,,,,
"CHICAGO FAMILY HEALTH CENTER, INC.|3625067T","$2,038,565",,,,,,,,,,,,,
FINCANTIERI MARINE GROUP LLC|1059374,"$2,018,879",,,,,,,,,,,,,
CENTER FOR HOUSING AND HEALTH|94136735V,"$2,015,000",,,,,,,,,,,,,
SCHEIDT & BACHMANN|94371023L,"$2,014,125",,,,,,,,,,,,,
HAVAS WORLDWIDE CHICAGO INC|105462226T,"$2,000,000",,,,,,,,,,,,,
PLANNED PARENTHOOD OF ILLINOIS|95380081X,"$1,980,837",,,,,,,,,,,,,
CHICAGO PUBLIC SCHOOLS|105467290M,"$1,976,994",,,,,,,,,,,,,
"URLAUB, BOWEN & ASSOC. INC|105465062M","$1,968,750",,,,,,,,,,,,,
PUERTO RICAN CULTURAL CENTER|105513664P,"$1,958,166",,,,,,,,,,,,,
BRIGHTON PARK NEIGHBORHOOD COUNCIL|46806011L,"$1,956,213",,,,,,,,,,,,,
STANDARD EQUIPMENT|105477209T,"$1,945,904",,,,,,,,,,,,,
AZTEC SUPPLY CORPORATION|99253653P,"$1,920,425",,,,,,,,,,,,,
ONE HOPE UNITED - NORTHERN REGION|102470805E,"$1,907,689",,,,,,,,,,,,,
"UNITY PARENTING & COUNSELING, INC.|62578112M","$1,903,200",,,,,,,,,,,,,
USI INSURANCE SERVICES LLC.|102478310Z,"$1,880,000",,,,,,,,,,,,,
"ALBANY PARK COMMUNITY CENTER, INC|22098831L","$1,879,878",,,,,,,,,,,,,
GOOD NEWS PARTNERS|3947746A,"$1,879,305",,,,,,,,,,,,,
"FAIR & IMPARTAIL POLICING, LLC|10603855","$1,858,000",,,,,,,,,,,,,
VERITEXT|100020485X,"$1,856,017",,,,,,,,,,,,,
NEW PISGAH MB CHURCH|CLEANED-UP|94315860Z,"$1,850,548",,,,,,,,,,,,,
PITNEY BOWES GLOBAL FINANCIAL|93428228L,"$1,850,094",,,,,,,,,,,,,
METRA TRANSPORTATION|38716005M,"$1,820,563",,,,,,,,,,,,,
CHICAGO LOOP ALLIANCE|43765932Z,"$1,811,876",,,,,,,,,,,,,
GREATER NW CHICAGO DEV. CORP|102543017H,"$1,809,630",,,,,,,,,,,,,
ERIKSON INSTITUTE|77037025T,"$1,797,500",,,,,,,,,,,,,
GREATER CHATHAM INITIATIVE|102701968X,"$1,773,262",,,,,,,,,,,,,
"KIMCO USA, INC|31332076P","$1,771,248",,,,,,,,,,,,,
KIDS ABOVE ALL ILLINOIS|105478810V,"$1,767,953",,,,,,,,,,,,,
RACHEL'S LEARNING CENTERS LIMITED|102464896V,"$1,747,584",,,,,,,,,,,,,
ARTS AUTO REBUILDERS|93516798V,"$1,742,341",,,,,,,,,,,,,
ASCEND JUSTICE|105477271H,"$1,741,067",,,,,,,,,,,,,
CHICAGO URBAN LEAGUE DEV CORP|31311292X,"$1,739,080",,,,,,,,,,,,,
OPEN DOOR CLINIC OF GREATER ELGIN|102671078T,"$1,723,000",,,,,,,,,,,,,
BOULEVARD OF CHICAGO INC|97791865E,"$1,717,949",,,,,,,,,,,,,
TOGETHER CHICAGO INC|105457835H,"$1,706,666",,,,,,,,,,,,,
LITTLE VILLAGE BUSINESS INCUBATOR LLC|10627720,"$1,700,000",,,,,,,,,,,,,
THINK OUTSIDE DA BLOCK|10601271,"$1,696,915",,,,,,,,,,,,,
"KID'Z COLONY DAYCARE, INC.|10611088","$1,692,900",,,,,,,,,,,,,
"FAST LANE CONSULTING AND EDUCATION SERVICES, INC|10595896","$1,680,846",,,,,,,,,,,,,
PROLINK SOLUTIONS|10237664,"$1,671,877",,,,,,,,,,,,,
"ASKREPLY, INC|99117643Z","$1,667,024",,,,,,,,,,,,,
STEPPING STONES EARLY CHILDHOOD LEARNING CENTER INC|23323434V,"$1,661,504",,,,,,,,,,,,,
EVERTHRIVE ILLINOIS|102705085X,"$1,656,250",,,,,,,,,,,,,
A LITTLE BIT OF HEAVEN|105470991Z,"$1,634,563",,,,,,,,,,,,,
TROPICAL OPTICAL CORP.|3894895V,"$1,630,000",,,,,,,,,,,,,
"R-4 SERVICES, LLC|94141284V","$1,601,671",,,,,,,,,,,,,
"1901 S WESTERN, LLC|10628202","$1,590,602",,,,,,,,,,,,,
AERO SNOW REMOVAL CORP|38890082V,"$1,586,099",,,,,,,,,,,,,
DANK-HAUS GERMAN CULTURAL CENTER|94682446P,"$1,562,786",,,,,,,,,,,,,
"JUDAH INTERNATIONAL OUTREACH MINISTRIES, INC|94219962X","$1,553,169",,,,,,,,,,,,,
AIDS HEALTHCARE FOUNDATION|95620399H,"$1,550,000",,,,,,,,,,,,,
LOGAN SQUARE. NEIGHBORHOOD ASSOCIATION.ASSOCIATION|5337426H,"$1,549,512",,,,,,,,,,,,,
HOWARD AREA COMMUNITY CENTER 01|28386163V,"$1,543,649",,,,,,,,,,,,,
"T & N CHICAGO, INC.|93816736A","$1,541,422",,,,,,,,,,,,,
CUMMINS INC.|105458059M,"$1,534,000",,,,,,,,,,,,,
K-FIVE CONSTRUCTION CORP.|102621570X,"$1,530,537",,,,,,,,,,,,,
O'WALLACE LANDSCAPING INC.|93145606L,"$1,520,000",,,,,,,,,,,,,
UCHICAGO ARGONNE LLC|65132976H,"$1,500,000",,,,,,,,,,,,,
LOCAL INITIATIVES SUPPORT CORPORATION|102634426A,"$1,500,000",,,,,,,,,,,,,
"HARDESTY & HANOVER, LLC|105497372T","$1,500,000",,,,,,,,,,,,,
"22ND CENTURY TECHNOLOGIES, INC.|105490533V","$1,500,000",,,,,,,,,,,,,
"A-KARRASEL GALEWOOD CHILDCARE, LLC|10611207","$1,483,368",,,,,,,,,,,,,
NORTH STAR CHILD DEVELOPMENT CENTER|105457228V,"$1,482,328",,,,,,,,,,,,,
ALLIANT INSURANCE SERVICES INC|98211869A,"$1,480,000",,,,,,,,,,,,,
FAR SOUTH COMMUNITY DEVELOPMENT CORPORATION|104099185M,"$1,466,323",,,,,,,,,,,,,
"TILES IN STYLE, LLC DBA TAZA SUPPLIES|105471103V","$1,450,000",,,,,,,,,,,,,
"INTERNATIONAL CODE COUNCIL, INC.|44286543T","$1,450,000",,,,,,,,,,,,,
"HEELS AND HAMMERS CONSTRUCTION, LLC|10617066","$1,450,000",,,,,,,,,,,,,
ASERET DEVELOPMENT SERIES LLC|10623853,"$1,450,000",,,,,,,,,,,,,
NEAR NORTH HEALTH SERVICE CORPORATION|98511894T,"$1,444,070",,,,,,,,,,,,,
DGO PREMIUM SERVICES CO.|10564423,"$1,426,436",,,,,,,,,,,,,
"LITERACY ZONE, INC|105460654A","$1,425,184",,,,,,,,,,,,,
DCM COURT REPORTING INC|92994714V,"$1,414,875",,,,,,,,,,,,,
CHICAGO HOUSE & SOCIAL SERVICE AGENCY|105470138T,"$1,407,955",,,,,,,,,,,,,
DEARBORN REAL ESTATE BOARD INC|1057417,"$1,400,000",,,,,,,,,,,,,
IDEMIA IDENTITY & SECURITY USA LLC|105461056X,"$1,399,972",,,,,,,,,,,,,
SWEET PEA ACADEMY|105457302X,"$1,397,168",,,,,,,,,,,,,
BETTER BOYS FOUNDATION|9372171H,"$1,381,187",,,,,,,,,,,,,
ALLIANCE CARE 360|105478801T,"$1,374,210",,,,,,,,,,,,,
KRONOS INC|105476041H,"$1,368,951",,,,,,,,,,,,,
SOUTH SHORE DRILL TEAM & PERFORMING ARTS ENSEMBLE|CLEANED-UP|93360981X,"$1,351,041",,,,,,,,,,,,,
"GINKGO PLANNING & DESIGN, INC.|84535969M","$1,350,855",,,,,,,,,,,,,
"BAKER TILLY VIRCHOW KRAUSE, LLP|86446974E","$1,349,339",,,,,,,,,,,,,
FRANK'S AUTO GLASS|1069573,"$1,338,750",,,,,,,,,,,,,
"ROSS BARNEY ARCHITECTS, PC|105513247A","$1,335,262",,,,,,,,,,,,,
"HEARTLAND HUMAN CARE SERVICES, INC.|102485360M","$1,312,010",,,,,,,,,,,,,
ASIAN HMN.SERVICE FAM. HLTH CENTER|57208999M,"$1,309,563",,,,,,,,,,,,,
COMMUNITY TELEVISION NETWORK|102597614X,"$1,302,338",,,,,,,,,,,,,
NORTHWESTERN MEMORIAL HOSPITAL|102490528V,"$1,300,000",,,,,,,,,,,,,
GREATER WEST TOWN COMMUNITY DEVELOPMENT PROJECT|31316397P,"$1,295,300",,,,,,,,,,,,,
NORTH BRANCH WORKS|102527385L,"$1,291,703",,,,,,,,,,,,,
URUAPAN PROPERTIES LLC|10619772,"$1,284,300",,,,,,,,,,,,,
"LAI, LCC DBA LAI, LTD.|105497376A","$1,280,900",,,,,,,,,,,,,
JACKIE JACKSON BIRTHRIGHTS INC.|10616847,"$1,271,000",,,,,,,,,,,,,
CENTER FOR CHANGING LIVES|1047758,"$1,268,517",,,,,,,,,,,,,
SMART CARTE INC|93544367X,"$1,267,100",,,,,,,,,,,,,
"CBG MIDWEST, LLC DBA AMERICAN BUILDING SERVICES|105474767P","$1,266,879",,,,,,,,,,,,,
CHICAGO PARKS FOUNDATION|102617463Z,"$1,266,624",,,,,,,,,,,,,
LOOKING GOOD HAND CAR WASH|22728869P,"$1,262,915",,,,,,,,,,,,,
HOLY FAMILY MINISTRIES|77983397X,"$1,261,724",,,,,,,,,,,,,
BRIGHTON PARK NEIGHBORHOOD COUNCIL|CLEANED-UP|92237450E,"$1,256,540",,,,,,,,,,,,,
URT E & R TOWING INC|102525457T,"$1,255,419",,,,,,,,,,,,,
"FIRST START CHILDCARE ACADEMY SOUTH, INC.|84710207L","$1,254,040",,,,,,,,,,,,,
"BRAIN BOX LITERACY ACADEMY & EDUCATIONAL SERVICES, INC.|105459339P","$1,251,338",,,,,,,,,,,,,
YOUNG ACHIEVERS ACADEMY INC|102465061A,"$1,250,992",,,,,,,,,,,,,
"INSPIRATION CORPORATION, CHICAGO|22056300X","$1,234,033",,,,,,,,,,,,,
SPUTNIK ROASTERS|102586489H,"$1,200,000",,,,,,,,,,,,,
CSG FORTE PAYMENTS INC|103538687H,"$1,175,000",,,,,,,,,,,,,
W S DARLEY & COMPANY|95279797E,"$1,174,661",,,,,,,,,,,,,
TOP BOX FOODS|10597767,"$1,167,778",,,,,,,,,,,,,
"BELLA BAGNO, INC.|31313587P","$1,167,231",,,,,,,,,,,,,
PCC COMMUNITY WELLNESS CENTER|89490279V,"$1,165,336",,,,,,,,,,,,,
CITY COLLEGES OF CHICAGO 01|33674170H,"$1,146,847",,,,,,,,,,,,,
LENCO INDUSTRIES INC|54000728P,"$1,135,649",,,,,,,,,,,,,
"BEST TECHNOLOGY SYSTEMS, INC.|31320670E","$1,131,700",,,,,,,,,,,,,
"MAXIMUS US SERVICES, INC.|105505069V","$1,127,266",,,,,,,,,,,,,
"CANON U.S.A., INC.|105509982E","$1,125,000",,,,,,,,,,,,,
GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION|105510644P,"$1,115,039",,,,,,,,,,,,,
PULASKI-ELSTON BUSINESS ASSOC.|31287032V,"$1,108,402",,,,,,,,,,,,,
DUKE UNIVERSITY|98146463A,"$1,104,063",,,,,,,,,,,,,
AMERICAN ANTWAN LAND LLC|10598719,"$1,100,000",,,,,,,,,,,,,
GREATER SOUTHWEST DEV CORP|105473950T,"$1,070,907",,,,,,,,,,,,,
"MOLLY MEYER, LLC DBA OMNI ECOSYSTEMS|10553906","$1,070,306",,,,,,,,,,,,,
RAVENSWOOD SPECIAL EVENTS INC|105479157V,"$1,062,556",,,,,,,,,,,,,
BEYOND THE BALL NFP|102566745E,"$1,060,278",,,,,,,,,,,,,
PATHWAYS TO LEARNING CHILD CARE CENTER INC|102464911V,"$1,055,315",,,,,,,,,,,,,
LEGAL COUNCIL FOR HEALTH JUSTICE|96825815P,"$1,054,020",,,,,,,,,,,,,
SIGNATURE FLIGHT SUPPORT LLC|10599056,"$1,050,000",,,,,,,,,,,,,
HEARTLAND INTERNATIONAL HEALTH CENTER|93337985V,"$1,048,892",,,,,,,,,,,,,
FAMILY GUIDANCE CENTERS INC.|CLEANED-UP|31760594E,"$1,048,404",,,,,,,,,,,,,
BEYOND LEGAL AID|105463179A,"$1,045,540",,,,,,,,,,,,,
