,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
406,TARGET MARKET MASTER CONSULTING AGREEMENT FOR REAL ESTATE PROPERTY MANAGEMENT SERVICES,50513,6,132852,"PRO SERV CONSULTING $250,000orABOVE",03/15/2017,09/12/2026,09/24/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,GLOBETROTTERS INTERNATIONAL'L INC,22489834H,INCORPORATED,300 S WACKER DR STE 200,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40658199-0000-C112-8A4B-5AE6B3DF324F}
407,"PROVISION OF SOFTWARE, APPLE PRODUCTS, PANASONIC RUGGEDIZED NOTEBOOKS, NETWORK EQUIPMENT, SERVERS, STORAGE SOLUTIONS , AND RELATED MAINTENANCE AND INSTALLATION SERVICES (THIS ENABLES E-PROCUREMENT PUNCHOUT ORDERING FOR PO 29659, SPEC. 10508",33232,19,105081,"PRO SERV CONSULTING $250,000orABOVE",10/01/2014,09/30/2025,09/23/2025,DEPARTMENT OF TECHNOLOGY AND INNOVATION,"CDW GOVERNMENT, LLC.",95137059T,75 REMITTANCE DR,,CHICAGO,IL,60675-1515,"$7,500,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={406C8199-0000-CF1F-AA27-3F853082810E}
408,DFSS-CORP-YS-GEMS:,322975,0,1296593,DELEGATE AGENCY,09/01/2025,12/31/2025,09/23/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,BOX UNITED,105505768L,5912 N FOREST GLEN AVE,,CHICAGO,IL,60646,"$207,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F098A099-0000-CD18-8ECF-5D01BF4CF465}
409,DFSS-CORP-CS-SS:,151948,5,135100,DELEGATE AGENCY,01/01/2021,12/31/2025,09/23/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ILLINOIS ACTION FOR CHILDREN,98844687Z,4753 N BROADWAY EFT,,CHICAGO,IL,60640,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D09AA099-0000-C418-86DF-3B33F4606920}
410,TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 5: EVALUATE & PRESERVE HISTORIC PROPERTIES,37743,7,131664,"PRO SERV CONSULTING $250,000orABOVE",09/12/2016,12/31/2027,09/22/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,"MCGUIRE, IGLESKI & ASSOCIATES",87978523E,1330 SHERMAN AVE,,EVANSTON,IL,60201,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={106C7799-0000-C419-9821-948B7DC1CEA3}
411,NON-TARGET MARKET PLANNING NOW SERVICES- CATEGORY 5: EVALUATE AND PRESERVE HISTORIC PROPERTIES,52802,6,131663,"PRO SERV CONSULTING $250,000orABOVE",09/29/2017,12/31/2027,09/22/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,"MCGUIRE, IGLESKI & ASSOCIATES",87978523E,1330 SHERMAN AVE,,EVANSTON,IL,60201,"$106,620.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80E17799-0000-C712-8AF1-C723ED3B753A}
412,NON-TARGET MARKET PLANNING NOW SERVICES-: CATEGORY 1: PREPARE URBAN PLANS,52887,7,131663,"PRO SERV CONSULTING $250,000orABOVE",02/22/2018,12/31/2027,09/22/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,"GINKGO PLANNING & DESIGN, INC.",84535969M,10640 PENFIELD DR,,ORLAND PARK,IL,60462,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={402C7C99-0000-CA11-898D-84865B5FB9D2}
413,DFSS-CDBG-SS-HWP:,314590,0,1310207,DELEGATE AGENCY,01/01/2025,12/31/2025,09/22/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,RUSH UNIVERSITY MEDICAL CENTER,105470052L,1700 W VAN BUREN ST,,CHICAGO,IL,60612,"$150,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70317899-0000-C816-8D63-A4A42EC05718}
414,NON-TARGET MARKET PLANNING NOW SERVICES- CATEGORY 1: PREPARE URBAN PLANS; CATEGORY 4: ASSIST WITH DEVELOPMENT OF SUSTAINABILTY AND RESILIENCY PLANS; AND CATEGORY 5: EVALUATE AND PRESERVE HISTORIC PROPERTIES,51521,5,131663,"PRO SERV CONSULTING $250,000orABOVE",04/11/2017,12/31/2027,09/22/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,"ROSS BARNEY ARCHITECTS, PC",105513247A,10 W HUBBARD ST FL 4TH  EFT,,CHICAGO,IL,60610-4638,"$500,000.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D06D7799-0000-CF13-B917-B74744C47F04}
415,AIRPORT MAINTENANCE AND REPAIR FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS,115256,3,799078,WORK SERV-AVIATION,02/01/2020,07/31/2026,09/19/2025,CHICAGO DEPARTMENT OF AVIATION,"MCDONAGH DEMOLITION, INC.",95358461T,7243 W TOUHY AVE,,CHICAGO,IL,60631,"$6,756,700.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50D77299-0000-C516-881F-02537460BC79}
416,DFSS-ARP-DV-GBVPE:,234166,5,1261264,DELEGATE AGENCY,05/01/2023,12/31/2025,09/19/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,RESILIENCE,105455651T,180 N MICHIGAN AVE STE 600,,CHICAGO,IL,60601,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60C16399-0000-C010-B969-963E0F646DCD}
417,TRANSFER FROM PO 84415: THIRD PARTY CONVEYANCE DEVICE INSPECTIONS AT O'HARE INTERNATIONAL AIRPORT,321158,1,732244,WORK SERV-AVIATION,01/15/2019,01/14/2026,09/19/2025,CHICAGO DEPARTMENT OF AVIATION,"ELEVATOR INSPECTION SERVICE COMPANY, LLC",105514987V,745 MCCLINTOCK DR,,BURR RIDGE,IL,60525,$0.00,CONTRACT ASSIGNMENT/TRANSFER,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00D87299-0000-C612-A245-B9603027CCE6}
418,"NON-TARGET MARKET PLANNING NOW-CAT1:PREP.URBAN PLANS; CAT2:EVAL.REALESTATE,HOUSING,ECON.DEVEL.PROPOSALS,STUDY ECON.IMPACTS; CAT3:PREP.FOR-MANAGE DEVEL.PROJ; CAT4:ASST.W/DEVEL/SUSTAINABILITY/RESILIENCY PLANS; CAT5:EVAL/PRESERVE HISTORIC PROP",52825,8,131663,"PRO SERV CONSULTING $250,000orABOVE",05/16/2017,12/31/2027,09/18/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,GENSLER ARCHITECTURE P C,86800997Z,11 E MADISON ST # 300,,CHICAGO,IL,60606,"$1,139,681.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={209A6299-0000-CC19-B08E-B7A9D757F161}
419,LIVESCAN FINGERPRINT EQUIPMENT MAINTENANCE AND SERVER UPGRADE SERVICES,274181,0,1293600,"PRO SERV CONSULTING $250,000orABOVE",07/31/2025,07/30/2028,09/18/2025,OFFICE OF PUBLIC SAFETY ADMINISTRATION,IDEMIA IDENTITY & SECURITY USA LLC,105461056X,5515 E LA PALMA AVE STE 100,,ANAHEIM,CA,92807,"$887,895.00",SOLE SOURCE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80A57C99-0000-C811-828A-CC7F3648C138}
420,AIRSIDE SNOW REMOVAL AT O'HARE INTERNATIONAL AIRPORT,112501,6,1018525,WORK SERV-AVIATION,10/30/2019,05/30/2026,09/17/2025,CHICAGO DEPARTMENT OF AVIATION,J S REIMER INC,25952028E,16 N 158 TYRRELL RD,,ELGIN,IL,60123-7828,"$500,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={300B5E99-0000-C01C-8B75-C233E1FB475A}
421,TRANSFER FROM PO 84415: THIRD PARTY CONVEYANCE DEVICE INSPECTIONS AT O'HARE INTERNATIONAL AIRPORT,321158,0,732244,WORK SERV-AVIATION,01/15/2019,09/17/2025,09/17/2025,CHICAGO DEPARTMENT OF AVIATION,"ELEVATOR INSPECTION SERVICE COMPANY, LLC",105514987V,745 MCCLINTOCK DR,,BURR RIDGE,IL,60525,"$30,587.10",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80C77199-0000-CC18-8090-A856038D8A23}
422,DFSS-CDBG-SS-HWP:,314585,0,1310207,DELEGATE AGENCY,01/01/2025,12/31/2025,09/17/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"ALLIANCE REHAB, INC.",31326824M,2803 BUTTERFIELD RD STE 200,,OAK BROOK,IL,60523,"$400,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C05B5E99-0000-CF18-9FA4-94532D1B301B}
423,To Provide for Five Public Health Vending Machines,216792,1,1265396,COMPTROLLER-OTHER,10/13/2022,12/31/2027,09/16/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,U Select It Holdings LLC,105493026Z,,,CLIVE,IA,50325-1118,"$76,292.50",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={601E7D99-0000-CD14-95BD-EE6069720C75}
424,Enhanced Traveler Information and Arterial Monitoring Systems - Midway Airport Area,120166,3,422806,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/16/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,ALDRIDGE ELECTRIC INC,25940976T,844 E ROCKLAND RD,,LIBERTYVILLE,IL,60048,"$43,154.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80777799-0000-C71E-A1E1-5B1592EE9642}
425,"1243247: ISW BOTY CORRIDOR IMPROVEMENTS: ASHLAND AVE, 43RD ST TO 49TH ST (SBI)",209547,5,1243247,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/16/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,,CHICAGO,IL,60656,"$82,724.60",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={706F7799-0000-CA1A-B96A-F29AD5BC6403}
426,1249104: Term Agreement for Lead Service Line Replacements - District 8,230745,5,1249104,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/06/2023,10/05/2026,09/16/2025,DEPARTMENT OF WATER MANAGEMENT,MILLENNIUM CONTRACTING CORPORATION,105466013V,5933 N KNOX AVE,,CHICAGO,IL,60646-5817,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10635399-0000-CC13-8183-53132CA9906E}
427,TARGET MARKET MASTER TASK ORDER CONTRACT; REAL ESTATE SERVICES FOR VARIOUS SCOPE CATEGORIES: CATEGORY 1: APPRAISAL SERVICES AND CATEGORY 3: CONSULTING SERVICES,76173,3,199599,"PRO SERV CONSULTING $250,000orABOVE",11/05/2018,04/27/2026,09/16/2025,PLANNING & DEVELOPMENT,APPLIED REAL ESTATE ANALYSIS INC,22347645A,914 S WABASH AVE,,CHICAGO,IL,60605,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80675D99-0000-C01A-BA02-88B6DEB518D9}
428,1116719: Jackson Park Mobility Improvements,177310,52,1116719,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/16/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0395499-0000-C31B-969C-9C96EA8D42F3}
429,PROFESSIONAL SEWER CONSTRUCTION ENGINEERING SERVICES,71103,3,140827,ARCH/ENGINEERING,06/15/2018,12/14/2026,09/16/2025,DEPARTMENT OF WATER MANAGEMENT,"GSG CONSULTANTS, INC.",102640943Z,623 COOPER CT,,SCHAUMBURG,IL,60173,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0165399-0000-C412-8715-B5A72F2B6937}
430,1249096: Term Agreement for Lead Service Line Replacements - District 1 (Group A),232078,3,1249096,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/06/2023,10/05/2026,09/16/2025,DEPARTMENT OF WATER MANAGEMENT,RELIABLE CONTRACTING & EQUIPMENT COMPANY,105468043V,4100 S EMERALD AVENUE EFT,,CHICAGO,IL,60609,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0665399-0000-CE1F-8258-4BACB32DEDF7}
431,1193340: 31st Street Bridge Over Metra Electric & Illinois Central Railroad,195177,11,1193340,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/16/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,RAUSCH INFRASTRUCTURE LLC,102506092P,1111 E TOUHY AVE,,DES PLAINES,IL,60018,"$629,091.70",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={708A7799-0000-C21C-81F4-860EA5D3D714}
432,"MASTER TASK ORDER CONTRACT PROFESSIONAL ENGINEERING SERVICES HIGHWAY/ROADWAY DESIGN, TRAFFIC STUDIES AND DESIGN (FOR TASK ORDERS) CATEGORIES 1-7: CATEGORIES 3, 4, 5, 6, AND 7",32168,4,118890,ARCH/ENGINEERING,09/02/2015,09/02/2027,09/16/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,HNTB CORPORATION,6172585P,ATTN: SUSAN CALHOUN,715 KIRK DRIVE EFT,KANSAS CITY,MO,64180-2729,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0E44A9A-0000-CD16-B2C2-EEE0B4220EC2}
433,1227066: Canal Street Viaduct Rehabilitation - Adams Street to Jackson Boulevard,211302,8,1227066,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/15/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"$155,457.80",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E08C5D99-0000-C611-A267-734D18D2F014}
434,"ENVIRONMENTAL RESPONSE SERVICES, CATEGORY 3: REMEDIATION AND RESTORATION SERVICES FOR FIRE, SMOKE, STORM, WATER AND MOLD DAMAGE",33719,4,124799,"PRO SERV CONSULTING $250,000orABOVE",03/29/2017,02/06/2027,09/15/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,ACR INC,102460201A,551 GLENN AVENUE,,WHEELING,IL,60090,"$2,866,898.90",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={808E6299-0000-C01F-8A94-BDC7772105ED}
435,TARGET MARKET MASTER TASK ORDER CONTRACT; REAL ESTATE SERVICES FOR VARIOUS SCOPE CATEGORIES: CATEGORY 1: APPRAISAL SERVICES AND CATEGORY 3: CONSULTING SERVICES,76176,3,199599,"PRO SERV CONSULTING $250,000orABOVE",10/29/2018,04/27/2026,09/15/2025,PLANNING & DEVELOPMENT,KIRSCH-TAYLOR CONSULTING,102631213V,1960 N LINCOLN PARK WEST # 2704,,CHICAGO,IL,60614,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0815D99-0000-CA1D-A1D4-C1D35EDA311C}
436,PIANO TUNING AND MAINTENANCE SERVICES,83880,5,723742,WORK SERVICES / FACILITIES MAINT.,10/09/2018,10/08/2026,09/12/2025,CHICAGO PUBLIC LIBRARY,DEBI'S PIANO TUNING & REPAIR,31331080L,153 RIDGE RD,,HIGHLAND PARK,IL,60035,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50D14D99-0000-C11A-B18B-4F096E21A6FC}
437,REPAIR OF SPRINGS AND SUSPENSION COMPONENTS FOR CITY OWNED VEHICLES AND EQUIPMENT,49569,5,131241,WORK SERVICES / FACILITIES MAINT.,03/01/2017,01/31/2026,09/12/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"BUS & TRUCK OF CHICAGO, INC",95644507E,7447 S CENTRAL AVE STE B,,BEDFORD PARK,IL,60638,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={000D4F99-0000-C31D-B049-822F6BE17FB9}
438,"MAINTENANCE, REPAIR, TESTING AND PURCHASE OF AUDIO VISUAL SYSTEMS AND COMPONENTS",26603,16,81885,WORK SERVICES / FACILITIES MAINT.,08/20/2012,02/17/2026,09/12/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,KAMALTECH INCORPORATE,93963603V,4513 VICTORIA DR,,PLAINFIELD,IL,60586,"$1,509,359.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90615899-0000-C01C-8910-99228FA75CD1}
439,LAW ENFORCEMENT DOGS,65716,3,373733,COMMODITIES,11/13/2017,05/13/2026,09/12/2025,CHICAGO POLICE DEPARTMENT,VOHNE LICHE KENNELS INC,31299105T,7953 N OLD RT  31,,DENVER,IN,46926,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2082E69A-0000-C81A-9AC0-8CFBD669950C}
440,"MATTRESSES, ACCESSORIES AND RELATED FURNITURE",63022,9,339491,COMMODITIES,09/15/2017,09/14/2026,09/12/2025,CHICAGO FIRE DEPARTMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",105468708E,505 N LAKE SHORE DR,,CHICAGO,IL,60611,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60D24D99-0000-C71C-AFC4-75CED260D40F}
441,AIRSIDE SNOW REMOVAL AT O'HARE INTERNATIONAL AIRPORT,112474,4,1018525,WORK SERV-AVIATION,10/30/2019,05/30/2026,09/12/2025,CHICAGO DEPARTMENT OF AVIATION,AERO SNOW REMOVAL (ILL) LLC,105457407M,2130 OXFORD RD,,DES PLAINES,IL,60018,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10D04D99-0000-C017-B4B7-537B5990B1F6}
442,"Management of Parking and Ground Transportation Facilities Midway Int'l Airport, Spec# 87223",26600,10,87223,PRO SERV-AVIATION,07/01/2012,12/28/2025,09/12/2025,CHICAGO DEPARTMENT OF AVIATION,STANDARD PARKING-MIDWAY JV,31929767E,PO BOX 388079,,CHICAGO,IL,60638,"$5,599,958.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0B53F99-0000-C21B-B39F-DFC45155B5A8}
443,AIRFIELD TRAINING CONSULTING SERVICES FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORT (SPEC #186944),64819,5,186944,PRO SERV-AVIATION,02/11/2018,08/31/2026,09/12/2025,CHICAGO DEPARTMENT OF AVIATION,ASSET LLC,92421301A,4939 N HAMLIN AVE,,CHICAGO,IL,60625,"$1,980,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={507A3F99-0000-CA12-B5B8-8A682DB2CAF3}
444,CDPH-NUTRTN&WIC-SERVS: PO 316213 Henry Booth House,316213,0,1322555,DELEGATE AGENCY,07/01/2025,06/30/2026,09/11/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,HENRY BOOTH HOUSE 01|CLEANED-UP,93427996Z,2328 S DEARBORN ST,,CHICAGO,IL,60616,"$221,115.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={603A6299-0000-CA12-AF38-7C10228EBA4E}
445,CDPH-NUTRTN&WIC-SERVS: PO 316215 Alivio Medical Center,316215,0,1322555,DELEGATE AGENCY,07/01/2025,06/30/2026,09/10/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,"ALIVIO MEDICAL CENTER,INC",3630259Z,2355 S WESTERN AVE # 1,,CHICAGO,IL,60608,"$324,302.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0973E99-0000-C315-90C4-88DB8CF237AE}
446,CDPH-NUTRTN&WIC-SERVS: PO 316212 Chicago Family Health Center,316212,0,1322555,DELEGATE AGENCY,07/01/2025,06/30/2026,09/10/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,"CHICAGO FAMILY HEALTH CENTER, INC.",3625067T,9119 S EXCHANGE AVE,,CHICAGO,IL,60617,"$280,079.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50963999-0000-C71B-9B23-E4ABEC6D6C2D}
447,1212857: Montrose Harbor Bridges and Underpasses Improvements,244632,11,1212857,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/09/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,,CHICAGO,IL,60656,"$135,477.60",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0582F99-0000-C814-85C3-3ADE8D48E4E2}
448,"1243247: ISW BOTY CORRIDOR IMPROVEMENTS: ASHLAND AVE, 43RD ST TO 49TH ST (SBI)",209547,4,1243247,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/09/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,,CHICAGO,IL,60656,"$71,449.50",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={905A2F99-0000-C713-9A85-F5DB6C0A0FAC}
449,CUSTODIAN VANDAL RESISTANT LOCKS AND REPAIR PARTS FOR FIRE HYDRANTS,45961,6,138045,COMMODITIES,03/16/2018,03/15/2028,09/09/2025,DEPARTMENT OF WATER MANAGEMENT,HYDRA SHIELD MANUFACTURING INC,87324817M,8701 CARPENTER FREEWAY EFT,,DALLAS,TX,75247,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10435499-0000-C112-8FA2-3F417764E12F}
450,1249099: Term Agreement for Lead Service Line Replacements - District 4 (Group A),232086,3,1249099,CONSTRUCTION-LARGE $3MILLIONorABOVE,10/06/2023,10/05/2026,09/09/2025,DEPARTMENT OF WATER MANAGEMENT,RELIABLE CONTRACTING & EQUIPMENT COMPANY,105468043V,4100 S EMERALD AVENUE EFT,,CHICAGO,IL,60609,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30512F99-0000-C213-9909-F35076605CBD}
451,Cicero and Maypole Sewer Improvement Project,316956,0,1291904,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,09/09/2025,DEPARTMENT OF WATER MANAGEMENT,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,,CHICAGO,IL,60656,"$5,880,719.50",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={70243599-0000-C81F-BBED-E3F4F5D8344E}
452,"MASTER TASK ORDER CONTRACT PROFESSIONAL ENGINEERING SERVICES HIGHWAY/ROADWAY DESIGN, TRAFFIC STUDIES AND DESIGN (FOR TASK ORDERS) CATEGORIES 1-7: CATEGORY 5 AND 6 AWARDED",32200,3,118890,ARCH/ENGINEERING,12/17/2015,09/01/2028,09/09/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"SINGH & ASSOCIATES, INC.",105472154A,230 W MONROE ST STE 1400,,CHICAGO,IL,60606,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00F52E99-0000-C610-80EC-6DCA517B2AAC}
453,PROFESSIONAL SEWER CONSTRUCTION ENGINEERING SERVICES,71089,3,140827,ARCH/ENGINEERING,06/18/2018,12/14/2026,09/09/2025,DEPARTMENT OF WATER MANAGEMENT,ALFRED BENESCH & CO,102637610A,35 W WACKER DR,,CHICAGO,IL,60601,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A00E2F99-0000-CC17-A257-DF84052B4D18}
454,"TARGET MARKET PLANNING NOW MASTER CONSULTING AGREEMENT- CATEGORY 1: PREPARE URBAN PLANS, 2: EVALUATE REAL ESTATE HOUSING & ECONOMIC DEVELOPMENT PROPOSALS & STUDY ECONOMIC IMPACTS, 6: SUPPORT SPECIAL SERVICE AREAS, 7: SUPPORT TIF DISTRICTS",37742,6,131664,"PRO SERV CONSULTING $250,000orABOVE",09/22/2016,12/31/2027,09/09/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,JOHNSON RESEARCH GROUP INC,105512401T,105 W MADISON ST,,CHICAGO,IL,60602,"$2,500,000.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10293099-0000-CE1B-8DF9-CB880414911C}
455,CDPH-COMMNTY-ENG: PO 320169 PHALANX FAMILY SERVICES-ARP,320169,0,1255880,DELEGATE AGENCY,06/01/2025,12/31/2025,09/05/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,,CHICAGO,IL,60644,"$40,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9070029A-0000-C51A-BDB2-3A7280EA2F5F}
