Row ID,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,City,State,Zip,Award Amount,Procurement Type,Start Date Year,End Date Year,Contract_Duration_Days,Approval_Delay_Days,Is_Zero_Award,Is_Negative_Modification,Is_High_Value,Award_Category,Vendor_Key,Revision_Count_Per_Contract
1206,884194: HARRISON STREET VIADUCT WEST OF THE CHICAGO RIVER RECONSTRUCTION,174270,19,884194,CONSTRUCTION-LARGE $3MILLIONORABOVE,4/10/2025,4/10/2025,04/10/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,RAUSCH INFRASTRUCTURE LLC,102506092P,1111 E TOUHY AVE,DES PLAINES,IL,60018,"$17,958",BID,2025,2025,0,0,0,0,0,Medium,RAUSCH INFRASTRUCTURE LLC|102506092P,12
1207,RUNWAY 13C-31C AND ASSOCIATED TAXIWAYS REHABILITATION - MIDWAY INTERNATIONAL AIRPORT - SPEC 1300035,304043,0,1300035,CONSTRUCTION-AVIATION,4/10/2025,4/10/2025,04/10/2025,CHICAGO DEPARTMENT OF AVIATION,K-FIVE CONSTRUCTION CORP./PLOTE CONSTRUCTION INC JV,102457682M,13769 MAIN STREET,LEMONT,IL,60439,"$46,993,031",BID,2025,2025,0,0,0,0,1,Large,K-FIVE CONSTRUCTION CORP./PLOTE CONSTRUCTION INC JV|102457682M,1
1208,TARGET MARKET PROFESSIONAL SEWER CONSTRUCTION MANAGEMENT ENGINEERING SERVICES,71234,2,140842,ARCH/ENGINEERING,7/6/2018,1/2/2026,04/10/2025,DEPARTMENT OF WATER MANAGEMENT,"D.B. STERLIN CONSULTANTS, INC.",73183229V,123 N WACKER DR # 2000,CHICAGO,IL,60606,$0,MASTER AGREEMENT,2018,2026,2737,2470,1,0,0,Depends Upon Requirements,"D.B. STERLIN CONSULTANTS, INC.|73183229V",3
1209,"1182986:  GRAND AVENUE 
IMPROVEMENTS - SECTION VI (W. GRAND AVE. FROM W. CHICAGO AVE. TO N. DAMEN AVE.)",153526,57,1182986,CONSTRUCTION-LARGE $3MILLIONORABOVE,4/10/2025,4/10/2025,04/10/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,CHICAGO,IL,60656,"$126,050",BID,2025,2025,0,0,0,0,1,Large,PAN-OCEANIC ENGINEERING CO INC|95584874P,33
1210,1258162: DRAINS IN CITY RIGHT OF WAY REPAIR PROGRAM - PN7504E FAR SOUTH AREA (SBI),283906,0,1258162,CONSTRUCTION-LARGE $3MILLIONORABOVE,3/26/2025,1/28/2026,04/10/2025,DEPARTMENT OF WATER MANAGEMENT,UNITED ENTERPRISE,105469473Z,9220 OGDEN AVE,BROOKFIELD,IL,60513,"$7,658,612",BID,2025,2026,308,15,0,0,1,Large,UNITED ENTERPRISE|105469473Z,2
1211,"ENVIRONMENTAL RESPONSE SERVICES, CATEGORY 1: HAZARDOUS MATERIAL HANDLING",33717,10,124799,"PRO SERV CONSULTING $250,000ORABOVE",4/16/2016,10/13/2025,04/09/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,SET ENVIRONMENTAL INC,86948683E,450 SUMAC ROAD EFT,WHEELING,IL,60090,"$7,577,881",RFP,2016,2025,3467,3280,0,0,1,Large,SET ENVIRONMENTAL INC|86948683E,5
1212,TARGET MARKET ARCHITECTURE AND ENGINEERING SERVICES FOR TERMINAL 5 LANDSIDE IMPROVEMENTS AND REPURPOSING PROJECT AT O'HARE INTERNATIONAL AIRPORT (SPEC #1219937),193854,1,1219937,PRO SERV-AVIATION,10/15/2022,10/14/2027,04/09/2025,CHICAGO DEPARTMENT OF AVIATION,MORENO ARCHITECTS LIMITED DBA JGMA,105457397E,223 W OHIO ST,CHICAGO,IL,60654,"$4,700,000",RFQ,2022,2027,1825,907,0,0,1,Large,MORENO ARCHITECTS LIMITED DBA JGMA|105457397E,2
1213,TITLE SERVICES FOR PROPERTY OWNERSHIP SEARCHES AND REAL ESTATE TRANSACTIONS,49308,5,135097,"PRO SERV CONSULTING $250,000ORABOVE",2/1/2017,7/28/2025,04/09/2025,DEPARTMENT OF LAW,GREATER ILLINOIS TITLE COMPANY,10758233Z,120 N LA SALLE ST STE 900,CHICAGO,IL,60602,$0,RFP,2017,2025,3099,2989,1,0,0,Depends Upon Requirements,GREATER ILLINOIS TITLE COMPANY|10758233Z,4
1214,"PAVEMENT STRIPING OF RUNWAYS, TAXIWAYS AND ROADWAYS FOR THE CHICAGO DEPARTMENT OF AVIATION (SPEC NO. 527437)",85577,4,527437,WORK SERV-AVIATION,11/1/2018,10/31/2025,04/09/2025,CHICAGO DEPARTMENT OF AVIATION,"PREFORM TRAFFIC CONTROL SYSTEMS, LIMITED",22078600A,625 RICHARD LN,ELK GROVE VILLAGE,IL,60007,$0,BID,2018,2025,2556,2351,1,0,0,Depends Upon Requirements,"PREFORM TRAFFIC CONTROL SYSTEMS, LIMITED|22078600A",3
1215,"MANAGEMENT OF PARKING AND GROUND TRANSPORTATION FACILITIES MIDWAY INT'L AIRPORT, SPEC# 87223",26600,9,87223,PRO SERV-AVIATION,7/1/2012,6/30/2025,04/09/2025,CHICAGO DEPARTMENT OF AVIATION,STANDARD PARKING-MIDWAY JV,31929767E,PO BOX 388079,CHICAGO,IL,60638,"$6,900,000",RFP,2012,2025,4747,4665,0,0,1,Large,STANDARD PARKING-MIDWAY JV|31929767E,5
1216,TERM AGREEMENTS FOR CONSTRUCTION MANAGEMENT SERVICES NON-TARGET MARKET,65960,3,137797,ARCH/ENGINEERING,3/20/2018,3/15/2026,04/09/2025,DEPARTMENT OF WATER MANAGEMENT,CDM SMITH INC.,93786688A,125 S WACKER DR STE 600,CHICAGO,IL,60606,$0,MASTER AGREEMENT,2018,2026,2917,2577,1,0,0,Depends Upon Requirements,CDM SMITH INC.|93786688A,3
1217,MASTER CONSULTING AGREEMENT FOR (A) EVALUATION AND (B) PLANNING CONSULTING SERVICES: SUBCATEGORY B.2 HIV/STI SERVICES,51553,5,130351,"PRO SERV CONSULTING $250,000ORABOVE",7/7/2017,6/27/2025,04/09/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,"MANAGEMENT SYNERGISTICS, INC.",22673262L,5650 N SHERIDAN RD # 14A,CHICAGO,IL,60660,$0,MASTER AGREEMENT,2017,2025,2912,2833,1,0,0,Depends Upon Requirements,"MANAGEMENT SYNERGISTICS, INC.|22673262L",2
1218,"ASBESTOS ABATEMENT, LEAD BASED PAINT MITIGATION AND MICROBIAL REMEDIATION SERVICES FOR CHICAGO O'HARE AND MIDWAY INTERNATIONAL AIRPORTS",88295,2,723859,WORK SERV-AVIATION,1/1/2019,12/31/2025,04/09/2025,CHICAGO DEPARTMENT OF AVIATION,TECNICA ENVIRONMENTAL SERVICES,94129153M,16 W 066 JEANS ROAD EFT,LEMONT,IL,60439,$0,UNKNOWN,2019,2025,2556,2290,1,0,0,Depends Upon Requirements,TECNICA ENVIRONMENTAL SERVICES|94129153M,3
1219,DESIGN CONSULTING SERVICES - TARGET MARKET,37876,4,132366,ARCH/ENGINEERING,7/1/2016,12/29/2025,04/09/2025,DEPARTMENT OF WATER MANAGEMENT,AAA ENGINEERING,94701329E,2942 W JARLATH ST,CHICAGO,IL,60645,$0,MASTER AGREEMENT,2016,2025,3468,3204,1,0,0,Depends Upon Requirements,AAA ENGINEERING|94701329E,3
1220,DESIGN CONSULTING SERVICES - TARGET MARKET,37882,4,132366,ARCH/ENGINEERING,7/1/2016,12/29/2025,04/09/2025,DEPARTMENT OF WATER MANAGEMENT,"PRIMERA ENGINEERS, LIMITED",22638829H,100 S WACKER DR # 700,CHICAGO,IL,60606,$0,MASTER AGREEMENT,2016,2025,3468,3204,1,0,0,Depends Upon Requirements,"PRIMERA ENGINEERS, LIMITED|22638829H",3
1221,"THE REBUILD FOUNDATION, NFP",305978,0,1322595,COMPTROLLER-OTHER,3/19/2025,3/19/2027,04/08/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,REBUILD FOUNDATION NFP,105467836M,6760 S STONY ISLAND AVE,CHICAGO,IL,60649,"$2,500,000",UNKNOWN,2025,2027,730,20,0,0,1,Large,REBUILD FOUNDATION NFP|105467836M,1
1222,NORTH BRANCH WORKS,305976,0,1322592,COMPTROLLER-OTHER,4/1/2025,12/31/2025,04/08/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,NORTH BRANCH WORKS,102527385L,1866 N MARCEY ST,CHICAGO,IL,60614,"$494,000",UNKNOWN,2025,2025,274,7,0,0,1,Large,NORTH BRANCH WORKS|102527385L,1
1223,ALUMINUM LICENSE TAGS,298749,0,1303274,COMMODITIES-SMALL ORDERS,4/8/2025,4/7/2028,04/08/2025,OFFICE OF CITY CLERK,"KETCHUM MANUFACTURING CO., INC",31290079A,PO BOX 10,LAKE LUZERNE,NY,12846,"$53,340",BID,2025,2028,1095,0,0,0,0,Medium,"KETCHUM MANUFACTURING CO., INC|31290079A",1
1224,HYDE PARK NEIGHBORHOOD CLUB,305980,0,1322601,COMPTROLLER-OTHER,3/10/2025,10/15/2025,04/08/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,HYDE PARK NEIGHBORHOOD CLUB-LEGENDS BASEBALL,3682411M,5480 S KENWOOD AVE,CHICAGO,IL,60615,"$250,000",UNKNOWN,2025,2025,219,29,0,0,1,Large,HYDE PARK NEIGHBORHOOD CLUB-LEGENDS BASEBALL|3682411M,1
1225,PROSERVE CONTRACT AVERY R. YOUNG POET LAURATE,306042,0,1322628,COMPTROLLER-OTHER,5/9/2023,12/30/2025,04/08/2025,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,AVERY R. YOUNG,105472028V,1416 N LINDER AVE,CHICAGO,IL,60651,"$225,000",UNKNOWN,2023,2025,966,700,0,0,1,Large,AVERY R. YOUNG|105472028V,1
1226,BEVERAGE MANAGEMENT SERVICES FOR TASTE OF CHICAGO,306120,0,1322652,COMPTROLLER-OTHER,4/1/2025,3/31/2026,04/08/2025,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,RAVENSWOOD SPECIAL EVENTS INC,105479157V,1700 W IRVING PARK RD STE 210,CHICAGO,IL,60613,"$536,500",UNKNOWN,2025,2026,364,7,0,0,1,Large,RAVENSWOOD SPECIAL EVENTS INC|105479157V,1
1227,POINT OF SALE SYSTEM FOR TASTE OF CHICAGO,306114,0,1322647,COMPTROLLER-OTHER,4/1/2025,3/31/2026,04/08/2025,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,RAVENSWOOD SPECIAL EVENTS INC,105479157V,1700 W IRVING PARK RD STE 210,CHICAGO,IL,60613,"$109,456",UNKNOWN,2025,2026,364,7,0,0,1,Large,RAVENSWOOD SPECIAL EVENTS INC|105479157V,1
1228,CRP PROGRAM,229454,1,1273245,COMPTROLLER-OTHER,4/21/2023,6/1/2025,04/08/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,APOLOGUE LLC,105494838L,ADDRESS NOT PROVIDED,CHICAGO,IL,60618,$0,UNKNOWN,2023,2025,772,718,1,0,0,Depends Upon Requirements,APOLOGUE LLC|105494838L,2
1229,NEIGHBORSPACE - CULLERTON OS,305983,0,1322612,COMPTROLLER-OTHER,3/11/2025,3/11/2027,04/08/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,NEIGHBOR SPACE (BOWMANVILLE GATEWAY GARDEN,66170667P,445 N SACRAMENTO BLVD STE 204,CHICAGO,IL,60612,"$455,000",UNKNOWN,2025,2027,730,28,0,0,1,Large,NEIGHBOR SPACE (BOWMANVILLE GATEWAY GARDEN|66170667P,1
1230,DFSS-CORP-HS-CNP:,294462,0,1306657,DELEGATE AGENCY,1/1/2025,12/31/2027,04/07/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,RESURRECTION PROJECT,103368522L,1805 S ASHLAND AVENUE EFT,CHICAGO,IL,60608,"$1,200,000",UNKNOWN,2025,2027,1094,96,0,0,1,Large,RESURRECTION PROJECT|103368522L,1
1231,MORENO ARCHITECTS LTD DBA JGMA,305559,0,1322382,COMPTROLLER-OTHER,5/2/2023,12/31/2026,04/03/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,MORENO ARCHITECTS LIMITED DBA JGMA,105457397E,223 W OHIO ST,CHICAGO,IL,60654,"$150,000",UNKNOWN,2023,2026,1339,702,0,0,1,Large,MORENO ARCHITECTS LIMITED DBA JGMA|105457397E,1
1232,EXECUTIVE CONSTRUCTION INC,305561,0,1322384,COMPTROLLER-OTHER,3/28/2025,12/27/2025,04/03/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,EXECUTIVE CONSTRUCTION INC,54857972V,235 FENCI LN,HILLSIDE,IL,60162,"$10,160,500",UNKNOWN,2025,2025,274,6,0,0,1,Large,EXECUTIVE CONSTRUCTION INC|54857972V,1
1233,CDPH-CONTACT-TRACING: PO# 297919 GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION,297919,0,1306887,DELEGATE AGENCY,1/1/2025,12/31/2025,04/03/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION,105510644P,839 W 79TH ST STE 400,CHICAGO,IL,60620,"$413,355",RFP,2025,2025,364,92,0,0,1,Large,GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION|105510644P,1
1234,QUOTE 5263382 - ORACLE HARDWARE MAINTENANCE AND SUPPORT FOR DATA CENTER INFRASTRUCTURE.,300882,0,450998,SOFTWARE,4/2/2025,4/2/2025,04/02/2025,DEPARTMENT OF TECHNOLOGY AND INNOVATION,DLT SOLUTIONS LLC,102509442P,ACCOUNT NUMBER: #4451063799,ATLANTA,GA,30374-3359,"$1,719,211",JOINT PURCHASE,2025,2025,0,0,0,0,1,Large,DLT SOLUTIONS LLC|102509442P,1
1235,DFSS-CORP-DV-CCAC:,301554,0,1309116,DELEGATE AGENCY,1/1/2025,12/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHICAGO CHILDREN'S ADVOCACY CENTER,6984030T,1240 S DAMEN AVE FL 1ST,CHICAGO,IL,60608,"$900,000",UNKNOWN,2025,2026,729,91,0,0,1,Large,CHICAGO CHILDREN'S ADVOCACY CENTER|6984030T,1
1236,DFSS-ARP-YS-MCMF:,214766,3,1263684,DELEGATE AGENCY,3/1/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,THINK OUTSIDE DA BLOCK,105510188H,6609 S HERMITAGE AVE,CHICAGO,IL,60636,"$176,320",UNKNOWN,2023,2026,1067,763,0,0,1,Large,THINK OUTSIDE DA BLOCK|105510188H,3
1237,DLT QUOTE 5263392 - ORACLE HARDWARE MAINTENANCE AND SUPPORT FOR DATA CENTER INFRASTRUCTURE.,300892,0,450998,SOFTWARE,4/2/2025,4/2/2025,04/02/2025,DEPARTMENT OF TECHNOLOGY AND INNOVATION,DLT SOLUTIONS LLC,102509442P,ACCOUNT NUMBER: #4451063799,ATLANTA,GA,30374-3359,"$221,085",JOINT PURCHASE,2025,2025,0,0,0,0,1,Large,DLT SOLUTIONS LLC|102509442P,1
1238,DLT QUOTE 5286439 FOR ORACLE SOFTWARE RENEWAL FOR TALEO. SHORT TERM RENEWAL TO CO-TERM WITH OTHER RENEWALS.,301252,0,450998,SOFTWARE,4/2/2025,4/2/2025,04/02/2025,DEPARTMENT OF TECHNOLOGY AND INNOVATION,DLT SOLUTIONS LLC,102509442P,ACCOUNT NUMBER: #4451063799,ATLANTA,GA,30374-3359,"$176,703",JOINT PURCHASE,2025,2025,0,0,0,0,1,Large,DLT SOLUTIONS LLC|102509442P,1
1239,DFSS-CORP-IDHS-DV-DVH:,301559,0,1309116,DELEGATE AGENCY,1/1/2025,12/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NETWORK ADVOCATING AGAINST DOMESTIC VIOLENCE,105462897V,WOMENS NETWORK (EFT),CHICAGO,IL,60601,"$900,000",RFP,2025,2026,729,91,0,0,1,Large,NETWORK ADVOCATING AGAINST DOMESTIC VIOLENCE|105462897V,1
1240,DFSS-ARP-YS-MCMF:,225938,3,1263684,DELEGATE AGENCY,3/15/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"SGA YOUTH & FAMILY SERVICES, NFP",63437745V,11 E ADAMS ST STE 1500,CHICAGO,IL,60603,"$179,077",UNKNOWN,2023,2026,1053,749,0,0,1,Large,"SGA YOUTH & FAMILY SERVICES, NFP|63437745V",3
1241,HEAT RECEIVER SERVICES- CITY OF CHICAGO,81492,1,608176,"PRO SERV CONSULTING $250,000ORABOVE",1/16/2019,1/15/2028,04/02/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,GLOBETROTTERS INTERNATIONAL'L INC,22489834H,INCORPORATED,CHICAGO,IL,60606,"$3,600,000",RFP,2019,2028,3286,2268,0,0,1,Large,GLOBETROTTERS INTERNATIONAL'L INC|22489834H,1
1242,DFSS-ARP-YS-MCMF:,225935,3,1263684,DELEGATE AGENCY,3/15/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,CHICAGO,IL,60602,"$176,320",UNKNOWN,2023,2026,1053,749,0,0,1,Large,METROPOLITAN FAMILY SERVICE|102603122X,3
1243,CDPH-MNTL-HLTH: MENTAL HEALTH - MENTAL HEALTH EQUITY INITIATIVE - CORP PO 292173 ST ANTHONY HOSPITAL,292173,0,1313222,DELEGATE AGENCY,1/1/2025,12/31/2025,04/02/2025,UNKNOWN,ST ANTHONY HOSPITAL,90197670M,135 S LA SALLE ST,CHICAGO,IL,60603,"$240,000",UNKNOWN,2025,2025,364,91,0,0,1,Large,ST ANTHONY HOSPITAL|90197670M,1
1244,DFSS-ARP-YS-MCMF:,214765,3,1263684,DELEGATE AGENCY,3/1/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",90455112P,11 E ADAMS STREET EFT,CHICAGO,IL,60603,"$176,320",UNKNOWN,2023,2026,1067,763,0,0,1,Large,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP|90455112P",3
1245,DFSS-ARP-YS-MCMF:,225939,3,1263684,DELEGATE AGENCY,3/15/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,THINK OUTSIDE DA BLOCK,105510188H,6609 S HERMITAGE AVE,CHICAGO,IL,60636,"$179,077",UNKNOWN,2023,2026,1053,749,0,0,1,Large,THINK OUTSIDE DA BLOCK|105510188H,3
1246,DFSS-ARP-HS-LPF:,294458,0,1306657,DELEGATE AGENCY,1/1/2025,12/31/2027,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,RESURRECTION PROJECT,103368522L,1805 S ASHLAND AVENUE EFT,CHICAGO,IL,60608,"$580,000",UNKNOWN,2025,2027,1094,91,0,0,1,Large,RESURRECTION PROJECT|103368522L,1
1247,PROGRAM 1: ADMINSTRATOR FOR COMMERCIAL VACANT BUILDING REHABILIATION AND DEVELOPMENT PROGRAM,206923,1,1233639,"PRO SERV CONSULTING $250,000ORABOVE",3/2/2023,3/1/2026,04/02/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,GUIDEHOUSE INC.,105470231A,135 S LASALLE DEPT 4511,CHICAGO,IL,60674-4511,$0,RFP,2023,2026,1095,762,1,0,0,Depends Upon Requirements,GUIDEHOUSE INC.|105470231A,3
1248,DFSS-ARP-YS-MCMF:,214700,3,1263684,DELEGATE AGENCY,3/1/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"AFTER-SCHOOL MATTERS, INC.|CLEANED-UP",72580818P,66 E RANDOLPH ST FL 1ST,CHICAGO,IL,60601,"$352,640",UNKNOWN,2023,2026,1067,763,0,0,1,Large,"AFTER-SCHOOL MATTERS, INC.|CLEANED-UP|72580818P",3
1249,CELLULAR AND WIRELESS COMMUNICATIONS AGREEMENT,20294,13,62859,"PRO SERV CONSULTING $250,000ORABOVE",7/14/2010,7/12/2025,04/02/2025,DEPARTMENT OF TECHNOLOGY AND INNOVATION,AT & T MOBILITY,66554527L,PO BOX 6463,CAROL STREAM,IL,60197-6463,$0,RFP,2010,2025,5477,5376,1,0,0,Depends Upon Requirements,AT & T MOBILITY|66554527L,4
1250,DFSS-ARP-YS-MCMF:,214769,4,1263684,DELEGATE AGENCY,3/1/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,THE ALLIANCE 98,105492916M,ADDRESS NOT PROVIDED,CHICAGO,IL,60632,"$176,320",UNKNOWN,2023,2026,1067,763,0,0,1,Large,THE ALLIANCE 98|105492916M,3
1251,DFSS-ARP-YS-MCMF:,214763,3,1263684,DELEGATE AGENCY,3/1/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PROJECT EXPLORATION,102549293X,4511 S EVANS AVE,CHICAGO,IL,60653,"$176,320",UNKNOWN,2023,2026,1067,763,0,0,1,Large,PROJECT EXPLORATION|102549293X,3
1252,DFSS-ARP-YS-MCMF:,214768,2,1263684,DELEGATE AGENCY,3/1/2023,1/31/2026,04/02/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,102603122X,SUITE 1000,CHICAGO,IL,60602,"$176,320",UNKNOWN,2023,2026,1067,763,0,0,1,Large,METROPOLITAN FAMILY SERVICE|102603122X,3
1253,DFSS-CORP-YS-OST:,210694,4,1247493,DELEGATE AGENCY,1/1/2023,12/31/2025,04/01/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,URBAN INITIATIVES INC NFP,102462366H,650 WEST LAKE STREET,CHICAGO,IL,60661,"$96,000",UNKNOWN,2023,2025,1095,821,0,0,0,Medium,URBAN INITIATIVES INC NFP|102462366H,4
1254,"GRANT AGREEMENT, CHICAGO CONVENTION AND TOURISM BUREAU, INC DBA CHOOSE CHICAGO",305131,0,1322056,COMPTROLLER-OTHER,1/1/2025,12/31/2025,03/31/2025,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,"CHICAGO CONVENTION & TOURISM BUREAU, INC.",14253061H,2301 S LAKE SHORE DR,CHICAGO,IL,60616,"$10,250,000",UNKNOWN,2025,2025,364,89,0,0,1,Large,"CHICAGO CONVENTION & TOURISM BUREAU, INC.|14253061H",1
1255,SITE IMPROVEMENTS FOR 4008 W. MADISON ROLLER RINK,305135,0,1322057,COMPTROLLER-OTHER,11/3/2021,12/31/2025,03/31/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,CHICAGO PARK DISTRICT,87834406A,541 N FAIRBANKS COURT EFT,CHICAGO,IL,60611,"$937,282",UNKNOWN,2021,2025,1519,1244,0,0,1,Large,CHICAGO PARK DISTRICT|87834406A,1
1256,DFSS-ARP-YS-YIP:,220530,3,1259434,DELEGATE AGENCY,3/1/2023,12/31/2025,03/31/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",90455112P,11 E ADAMS STREET EFT,CHICAGO,IL,60603,"$375,000",UNKNOWN,2023,2025,1036,761,0,0,1,Large,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP|90455112P",3
1257,PROFESSIONAL ENGINEERING DESIGN CONSULTING SERVICES FOR WESTERN AVENUE PUMPING STATION ELECTRIFCATION,255527,0,1211485,ARCH/ENGINEERING,3/26/2025,3/26/2030,03/31/2025,DEPARTMENT OF WATER MANAGEMENT,GREELEY & HANSEN,105461514L,100 S WACKER DRIVE EFT XX 1991,CHICAGO,IL,60606,"$18,000,000",RFQ,2025,2030,1826,5,0,0,1,Large,GREELEY & HANSEN|105461514L,1
1258,DFSS-ARP-YS-YIP:,220536,3,1259434,DELEGATE AGENCY,3/1/2023,12/31/2025,03/31/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"YOUTH OUTREACH SERVICES, INC.",43903980X,ACCOUNTS PAYABLE,CHICAGO,IL,60612,"$750,000",UNKNOWN,2023,2025,1036,761,0,0,1,Large,"YOUTH OUTREACH SERVICES, INC.|43903980X",4
1259,CPD TRAINING AGREEMENT; RSA,305137,0,1322062,COMPTROLLER-OTHER,3/27/2025,9/26/2025,03/31/2025,OFFICE OF PUBLIC SAFETY ADMINISTRATION,"RON SMITH & ASSOCIATES, INC.",105506437P,PO BOX 670,COLLINSVILLE,MS,39325,"$978,858",UNKNOWN,2025,2025,183,4,0,0,1,Large,"RON SMITH & ASSOCIATES, INC.|105506437P",1
1260,DFSS-ARP-YS-YIP:,220532,3,1259434,DELEGATE AGENCY,3/1/2023,12/31/2025,03/31/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION,84007890X,1400 W AUGUSTA BLVD FL 1ST,CHICAGO,IL,60642,"$375,000",UNKNOWN,2023,2025,1036,761,0,0,1,Large,NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION|84007890X,3
1261,1116719: JACKSON PARK MOBILITY IMPROVEMENTS,177310,49,1116719,CONSTRUCTION-LARGE $3MILLIONORABOVE,3/28/2025,3/28/2025,03/28/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,CHICAGO,IL,60656,$0,BID,2025,2025,0,0,1,0,0,Depends Upon Requirements,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC|94387210X",36
1262,"EXHIBITION AGREEMENT, CHICAGO INTERNATIONAL PUPPET THEATER",304969,0,1322014,COMPTROLLER-OTHER,12/12/2024,4/30/2025,03/28/2025,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,BLAIR THOMAS & COMPANY,34667348H,3200 W CARROLL AVE,CHICAGO,IL,60624,"$22,500",UNKNOWN,2024,2025,139,106,0,0,0,Medium,BLAIR THOMAS & COMPANY|34667348H,1
1263,1201402: MILWAUKEE AVENUE SECTION 5 IMPROVEMENTS W. LOGAN BOULEVARD TO W. BELMONT AVENUE,257879,5,1201402,CONSTRUCTION-LARGE $3MILLIONORABOVE,3/28/2025,3/28/2025,03/28/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,CAPITOL CEMENT CO INC,15244443L,6231-6233 N PULASKI RD,CHICAGO,IL,60646,"$203,263",BID,2025,2025,0,0,0,0,1,Large,CAPITOL CEMENT CO INC|15244443L,12
1264,SUSTAINABILITY CONSULTING SERVICES FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS (SPEC #112274),29663,7,112274,PRO SERV-AVIATION,12/31/2022,12/31/2025,03/28/2025,CHICAGO DEPARTMENT OF AVIATION,"APTIM GOVERNMENT SOLUTIONS, LLC",105459648Z,212 W SUPERIOR ST STE 200,CHICAGO,IL,60654,"$1,300,000",RFP,2022,2025,1096,818,0,0,1,Large,"APTIM GOVERNMENT SOLUTIONS, LLC|105459648Z",4
1265,DFSS-ARP-YS-MCMF:,225964,2,1263684,DELEGATE AGENCY,3/15/2023,1/31/2026,03/27/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,URBAN MALE NETWORK,105493984X,ADDRESS NOT PROVIDED,CHICAGO,IL,60636,"$179,077",UNKNOWN,2023,2026,1053,743,0,0,1,Large,URBAN MALE NETWORK|105493984X,3
